NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
172,36,82.7%,95.1%,797,98.2%,48%,31,227,1,1382,343
173,36,65.5%,100%,343,89.6%,74.8%,9,420,1,420,420
174,33,81.8%,94.2%,547,93.1%,87.2%,1386,774,1,797,742
175,43,91.9%,91.7%,688,100%,82.9%,19,7,1,0,5
176,42,88.2%,98.2%,976,96.7%,83.8%,1,343,1,450,377
177,39,90.8%,97.8%,585,93.1%,92.6%,5,0,1,5,5
178,30,85.6%,95.8%,221,97.6%,17.3%,232,2094,1,707,707
179,43,87.2%,96.9%,655,72.4%,94%,12,610,1,676,561
180,27,78%,88.9%,538,95.8%,76.8%,31,479,1,540,540
181,46,86.9%,97.1%,691,92.7%,64.4%,12,903,1,824,824
182,53,67.9%,88%,219,95.8%,77.5%,13,268,2,268,268
183,24,88.3%,100%,171,93.5%,28.1%,43,341,2,348,349
184,37,89.5%,96.4%,664,100%,83.4%,2,694,1,676,567
185,28,82.5%,95.8%,1,93.6%,1.4%,3,1367,1,1367,1367
186,36,87.4%,93.7%,817,95.1%,76.5%,56,607,1,811,810
187,24,91.2%,100%,309,100%,41.6%,1,0,1,404,404
188,32,91.9%,96.5%,393,86.1%,52.6%,38,0,1,832,832
189,25,79.4%,96.1%,53,95.2%,0%,0,453,1,16,16
190,30,68.2%,82%,380,80.8%,22.9%,48,380,1,0,0
191,32,84.9%,100%,610,95.7%,63.3%,41,226,1,62,62
192,34,87.7%,94%,919,91.8%,72.7%,219,1200,1,1245,1201
193,54,94.4%,93.1%,360,75.5%,50.3%,13,742,1,717,723
194,38,91.7%,99.2%,879,98%,68.9%,28,859,1,1,569
195,29,78.2%,99.6%,429,96.5%,25.3%,438,2089,1,1644,1549
196,35,73.8%,96.3%,635,90.2%,73.7%,108,832,1,895,895
197,31,72.3%,97.9%,438,93%,49.5%,22,877,1,998,998
198,58,66.5%,98.8%,362,84.1%,48.9%,22,509,1,216,169
199,29,73.5%,95.6%,296,90.5%,6.1%,15,1327,1,1313,1313
200,28,79.3%,97.9%,0,97.2%,27.6%,1,730,1,730,730
201,43,86.9%,97%,699,91.8%,88.5%,12,1192,1,747,441
202,29,69%,77.5%,445,86.6%,64.6%,3,704,1,712,712
203,39,90.3%,93%,743,84.6%,82.9%,114,0,1,12,12
204,45,82.8%,96.1%,417,94.2%,74.6%,14,0,1,53,82
205,40,93.1%,97.7%,374,100%,100%,63,236,1,0,80
206,34,98.9%,95.7%,288,95.9%,40.4%,0,565,1,0,168
207,31,84.5%,99.7%,82,86.3%,1.4%,25,1913,1,1587,1587
208,41,96%,98.9%,672,84.1%,98.5%,6,579,1,82,254
209,39,81%,96.2%,1210,93.9%,52.8%,91,1217,1,1453,1453
210,42,93.2%,97.9%,18,88.9%,15.9%,18,1541,1,114,97
211,40,87.8%,93.4%,887,100%,78.5%,31,0,1,693,693
212,30,70.6%,100%,221,93%,44.4%,42,494,1,494,494
213,50,90.1%,96.4%,409,87%,74.6%,2,596,1,340,455
215,43,90.4%,96.5%,330,100%,100%,30,229,1,0,0
216,41,100%,100%,190,100%,76.7%,8,377,1,318,370
217,43,87.3%,100%,502,100%,96.8%,18,356,1,1,86
218,33,87%,95.6%,681,97.7%,50.6%,15,961,1,937,827
219,23,75.6%,95.2%,423,76.4%,18.1%,124,1373,1,817,157
220,34,87.3%,90.7%,657,98.8%,44.3%,12,341,1,651,651
221,43,80.2%,97.5%,334,89.2%,27.8%,57,592,1,1168,1172
222,37,92%,97.5%,672,100%,100%,4,652,1,0,110
223,36,54.9%,86.8%,610,94.7%,64.2%,11,656,1,658,658
224,49,89.2%,90.4%,470,94.1%,35.4%,0,1029,1,1026,511
225,36,79.1%,94.1%,237,85.8%,50.8%,282,0,1,494,487
226,33,77.3%,94%,164,81.3%,46.3%,0,476,1,139,139
227,36,78.6%,97.7%,843,88.6%,79.5%,72,380,1,844,844
228,63,57.5%,100%,883,87.2%,82%,300,0,2,50,50
229,30,85%,89.9%,1517,96.8%,78%,272,294,1,916,639
230,30,88%,95.7%,221,94.8%,6.3%,15,1165,1,1145,1145
231,49,81.2%,100%,601,87.8%,49.6%,129,1383,1,759,571
232,32,76.2%,99.2%,1068,97.3%,55.3%,55,833,1,832,832
233,36,85.6%,96.4%,588,89.1%,39%,21,1482,1,877,1367
234,31,81.9%,95.6%,1050,96.4%,73.5%,359,1788,1,2214,943
235,39,89.1%,88.5%,755,100%,59.4%,11,701,1,755,526
236,57,58%,96.7%,401,89.9%,47.9%,58,151,1,282,0
237,30,74.9%,97.4%,1121,95.6%,66.5%,101,1138,1,877,921
238,37,73.1%,98.1%,868,100%,71.8%,38,785,1,857,857
240,42,78.8%,91.8%,578,87.8%,42.3%,23,1164,1,1157,1060
241,52,93.1%,100%,643,91.5%,97.1%,7,429,1,0,0
242,30,85.6%,85.6%,506,96.4%,62.5%,52,0,1,358,358
243,29,90.2%,96.9%,911,100%,100%,168,2,2,312,312
244,40,83.7%,97.5%,700,98.2%,79.9%,190,68,1,519,519
245,35,88.7%,91.4%,218,93.5%,55%,5,640,1,637,637
246,41,63.2%,85.9%,147,100%,22.9%,8,1202,1,1199,953
247,31,31.9%,100%,18,92.9%,4.7%,28,458,1,458,458
248,34,74.1%,100%,8,91.7%,0%,6,634,1,634,352
249,18,25.1%,82.3%,53,100%,7.9%,0,522,1,522,522
250,40,100%,94.9%,177,100%,76.7%,43,261,1,215,296
251,36,87.2%,95.8%,707,91.1%,87.7%,34,273,1,687,687
252,44,95.4%,81.2%,363,95.8%,81.9%,19,66,1,89,89
253,42,90%,98.1%,492,94.4%,65.1%,0,845,1,107,27
254,30,86%,89.4%,41,92.2%,8.7%,406,1116,1,402,394
255,46,89.8%,97.5%,598,99.3%,58.4%,29,917,1,716,701
256,42,95.8%,98.8%,3722,97.1%,93%,1308,0,1,970,457
257,32,89.3%,94.2%,876,92.3%,42.8%,21,0,1,2036,1984
258,32,85.8%,86.2%,1130,98.5%,74.3%,98,1254,1,1088,1089
259,29,69.9%,99%,599,89.5%,24.5%,25,946,1,1036,1036
260,34,73.1%,91.7%,1224,97.2%,57.4%,123,1394,1,1339,1344
261,41,90.5%,98.8%,861,100%,82.1%,0,429,1,13,144
262,45,90.5%,97.5%,1042,98.5%,96.3%,54,403,1,708,708
263,45,91.5%,98.6%,874,95.8%,94.2%,6,942,1,451,425
264,32,65%,91.4%,380,89.4%,52.4%,17,493,1,773,773
265,45,91.3%,97.2%,549,98.6%,74.5%,6,549,1,374,374
266,37,70.4%,96.8%,1158,96.9%,73.7%,393,0,1,404,404
267,36,87.6%,94.9%,1848,95%,79.4%,236,0,1,817,844
268,34,86.1%,97.5%,625,92.2%,64.7%,2,702,1,703,703
269,44,92.9%,95.2%,683,89.4%,69.4%,7,1042,1,13,123
270,33,83.3%,97.8%,0,75.3%,0%,0,598,1,598,0
271,38,57.6%,90.2%,445,95.1%,78%,0,445,1,445,445
272,31,86.2%,89.3%,0,93.3%,0%,37,780,1,0,0
273,35,81.9%,97.1%,847,100%,83.5%,152,0,1,2,2
274,31,98.3%,96.1%,0,74.9%,0%,10,554,1,554,554
275,34,67.9%,95.9%,444,100%,49.7%,12,222,1,759,729
276,34,83.5%,97.6%,667,100%,89.3%,66,57,1,212,46
