NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
366,36,85.3%,95.2%,224,95%,36.6%,12,407,1,308,49
367,31,90.8%,98.2%,848,90.1%,32.2%,10,3469,2,2111,2274
368,39,84.1%,98.5%,821,92.3%,66.9%,48,1181,1,1120,1120
369,38,58.4%,93.2%,371,89.2%,43.3%,36,1031,1,1031,1031
370,24,62.5%,80%,484,97.1%,18.5%,40,1222,1,713,922
371,39,56.9%,93.6%,1879,92.3%,44.1%,92,2874,1,2836,2836
372,42,87.7%,97.4%,3696,95.5%,81.5%,95,635,1,2975,2264
373,44,91.1%,100%,969,100%,97.7%,22,783,1,856,883
374,50,34.3%,95.6%,894,89.9%,46.1%,56,1054,1,1054,1009
375,45,88.2%,96.8%,848,100%,92.7%,12,402,1,295,295
376,39,79.2%,96.7%,1451,97.5%,65.9%,185,1150,1,863,756
377,35,83.5%,91%,1688,94.4%,81%,102,0,1,494,653
378,35,88.9%,96%,1975,92.7%,54.4%,30,2892,1,2317,2791
379,43,91.6%,96%,1314,97.4%,99.8%,5,161,1,334,659
380,41,91.1%,97.3%,1857,100%,91.8%,48,0,1,858,928
381,33,88.2%,97.6%,851,94.1%,38.9%,4,2919,1,2699,2899
382,25,89.3%,94.3%,758,86.4%,59.6%,37,907,1,907,905
383,30,74.9%,91.8%,1135,94.2%,59.5%,19,1558,1,1475,1411
385,35,59.4%,93.1%,1400,85.4%,46.4%,68,2008,1,1820,1820
386,33,78.4%,89.3%,738,94.7%,60%,18,1247,1,673,972
387,40,63.4%,81.3%,795,92.2%,47%,266,1076,1,744,744
388,29,82.3%,98.9%,649,85.6%,27.9%,18,1687,2,1687,1398
389,34,73.3%,96.5%,1892,89.5%,39.1%,12,2944,1,2756,2986
390,35,59.9%,100%,381,93.9%,40.4%,14,892,1,892,764
391,48,82%,99.9%,957,95.8%,99.1%,7,203,1,717,499
392,41,93.2%,97.7%,2308,94.5%,85.1%,12,3832,1,2569,2348
393,32,94.8%,99.5%,1813,92.1%,56%,6,3803,1,2174,2053
394,37,83.7%,92.9%,543,92.7%,51.8%,28,1416,1,1376,786
395,33,88.8%,100%,443,93.5%,45.5%,57,5,1,75,433
396,44,81.3%,99.2%,1191,97.3%,89.5%,1521,0,1,221,221
397,33,90%,98.3%,38,100%,9.4%,7,1109,1,1109,1109
398,42,71.2%,95.2%,149,100%,71.2%,50,159,1,34,34
399,36,85.1%,98.4%,516,88.5%,49%,150,812,1,568,568
400,38,86.2%,98%,890,100%,96.3%,47,292,1,537,469
401,39,84.1%,97.1%,724,95.7%,86.8%,55,0,1,19,324
402,47,90.4%,97.3%,599,100%,85.2%,214,0,1,0,0
403,45,84.8%,93.7%,871,94%,96.1%,475,234,1,407,407
404,34,63.1%,91.3%,545,89.8%,49.3%,57,728,1,696,187
405,39,84.9%,94.2%,1072,98.1%,77.9%,62,1369,2,755,755
